id	name	no_alle	no_activity	no_bi	no_gg	x	y	prazision	noten	region1	region2	region3
357	Purschenstein	1	0	0	1	50.676	13.463	1			Nordwestböhmen	Nordwestböhmen
358	Pustiměř	2	2	0	0	49.323	17.028	1			Olmützer Teil	Olmützer Teil
359	Raabs an der Thaya	4	0	2	2	48.848	15.492	1			Nordwestniederösterreich	Nordwestniederösterreich
360	Rabenstein	0	0	0	0	47.401	14.815	1			Nordsteiermark	Nordsteiermark
361	Radkersburg -Bad Radkersburg	1	1	0	0	46.693	15.991	1			Mittelsteiermark	Mittelsteiermark
362	Radlje ob Dravi	3	0	3	0	46.615	15.222	1			Südsteiermark	Südsteiermark
363	Radynia	1	0	0	1	50.151	17.671	1			Troppauer Teil	Troppauer Teil
364	Ragogna	1	0	1	0	46.174	12.983	1			Patriarchat Aquileia 	Patriarchat Aquileia 
365	Raitenhaslach	3	0	3	0	48.129	12.787	1			Bayern	Bayern
366	Rakovník	1	0	0	1	50.104	13.733	1			Mittelböhmen	Mittelböhmen
367	Randegg	4	0	0	4	48.011	14.973	1			Südwestniederösterreich	Südwestniederösterreich
368	Rauchenwarth	1	0	0	1	48.084	16.530	1			Südostniederösterreich	Südostniederösterreich
369	Řečkovice	1	0	0	1	49.251	16.579	1			Brünner Teil	Brünner Teil
370	Regensburg	5	1	4	0	49.015	12.102	1			Bayern	Bayern
371	Regenstauf	1	1	0	0	49.155	12.170	1			Bayern	Bayern
372	Reichersberg	1	0	1	0	48.338	13.358	1			Bayern	Bayern
373	Rein	9	1	8	0	47.135	15.285	1			Mittelsteiermark	Mittelsteiermark
374	Reinsberg	2	0	2	0	47.986	15.072	1			Südwestniederösterreich	Südwestniederösterreich
375	Répca (Fluss)	0	0	0	0	47.596	16.992	2			Westungarn	Westungarn
376	Řeporyje	1	0	0	1	50.032	14.304	1			Mittelböhmen	Mittelböhmen
377	Rettenbach in Oststeiermark	1	0	0	1	46.986	15.605	2			Mittelsteiermark	Mittelsteiermark
378	Retz	1	0	0	1	48.757	15.952	1			Nordostniederösterreich	Nordostniederösterreich
379	Řevnice	1	0	0	1	49.913	14.233	1			Mittelböhmen	Mittelböhmen
380	Rheinland	0	0	0	0			2			Rheinland	Rheinland
381	Ried am Riederberg	1	0	0	1	48.255	16.065	1			Südostniederösterreich	Südostniederösterreich
382	Ried im Innkreis	2	1	1	0	48.209	13.488	1	BUrg		Oberösterreich	Oberösterreich
383	Rinchnach	1	0	1	0	48.950	13.199	1			Bayern	Bayern
384	Rohr	1	1	0	0	48.776	11.990	3			Bayern	Bayern
385	Rohr im Kremstal	1	0	1	0	48.067	14.190	1			Oberösterreich	Oberösterreich
386	Röhrenbach	2	0	0	2	48.663	15.489	3			Nordwestniederösterreich	Nordwestniederösterreich
387	Rossatz	1	0	0	1	48.398	15.505	1			Südwestniederösterreich	Südwestniederösterreich
388	Roštín	1	0	0	1	49.189	17.286	1			Olmützer Teil	Olmützer Teil
389	Rottenmann	1	0	0	1	47.527	14.360	1			Nordsteiermark	Nordsteiermark
390	Rouchovany	1	0	1	0	49.070	16.108	1			Znaimer Teil	Znaimer Teil
391	Rožmberk nad Vltavou	6	0	6	0	48.654	14.365	1			Südböhmen	Südböhmen
392	Rožnov u Českých Budějovic	1	0	0	1	48.948	14.467	1			Südböhmen	Südböhmen
393	Rozvadovice	1	0	0	1	49.676	17.092	1			Olmützer Teil	Olmützer Teil
394	Rudeč	1	0	0	1	50.236	14.585	1			Mittelböhmen	Mittelböhmen
395	Ruprechtsdorf	1	0	1	0			3	nicht identifiziert		Nordostniederösterreich	Nordostniederösterreich
396	Russdorf bei Ostritz	1	0	0	1	51.016	14.931	2			Nordböhmen	Nordböhmen
397	Ruzyně	1	0	0	1	50.090	14.312	1			Mittelböhmen	Mittelböhmen
398	Rýzmburk	3	0	3	0	50.634	13.665	1			Nordwestböhmen	Nordwestböhmen
399	Sadská	3	3	0	0	50.134	14.985	1			Ostböhmen	Ostböhmen
400	Salzburg	21	1	20	0	47.797	13.048	1			Salzburg	Salzburg
401	Salzburg	21	1	20	0			2			Salzburg	Salzburg
402	Sankt Georgen an der Stiefing	1	0	0	1	46.878	15.576	1			Mittelsteiermark	Mittelsteiermark
403	Sankt Peter am Kammersberg	1	0	0	1	47.186	14.189	1			Nordsteiermark	Nordsteiermark
404	Sankt Peter in der Au-Markt, Austria	1	0	0	1	48.044	14.621	1			Oberösterreich	Oberösterreich
405	Sankt Veit an der Gölsen	1	0	0	1	48.044	15.671	1			Südwestniederösterreich	Südwestniederösterreich
406	Sayda	1	0	0	1	50.712	13.419	1			Nordwestböhmen	Nordwestböhmen
407	Scharlinz	0	0	0	0	48.268	14.316	1			Oberösterreich	Oberösterreich
408	Schlesien	0	0	0	0			2			Schlesien	Schlesien
409	Schönau an der Triesting	0	0	0	0	48.172	16.615	3			Nordostniederösterreich	Nordostniederösterreich
410	Schönberg am Kamp	1	0	1	0	48.539	15.680	1			Nordwestniederösterreich	Nordwestniederösterreich
411	Schwechat	1	0	0	1	48.141	16.477	1			Südostniederösterreich	Südostniederösterreich
412	Sebranice	1	0	0	1	49.497	16.575	1			Brünner Teil	Brünner Teil
413	Seckau	25	0	25	0	47.275	14.786	1			Nordsteiermark	Nordsteiermark
414	Sedlec	4	0	4	0	49.961	15.288	1			Ostböhmen	Ostböhmen
415	Sedlisko	1	0	0	1	49.640	17.217	3	Sedlisko u Olomouce, Horka nad Moravou		Olmützer Teil	Olmützer Teil
416	Seefeld	2	0	2	0	48.724	16.191	1			Nordostniederösterreich	Nordostniederösterreich
417	Seitenstetten	3	1	2	0	48.036	14.655	1			Südwestniederösterreich	Südwestniederösterreich
418	Sereď	1	1	0	0	48.285	17.733	1			Westungarn	Westungarn
419	Sewernaja Gora	1	1	0	0	54.760	20.550	1			Preussen	Preussen
420	Sitzenberg	2	1	1	0	48.321	15.809	1	Druhá je v Bavorsku		Südwestniederösterreich	Südwestniederösterreich
421	Skřípov	1	0	0	1	49.819	17.910	2			Troppauer Teil	Troppauer Teil
422	Šlapanice	1	1	0	0	49.169	16.727	1			Brünner Teil	Brünner Teil
423	Slovenj Gradec	2	2	0	0	46.516	15.079	1			Ostkärnten	Ostkärnten
424	Sobotovice	1	0	0	1	49.060	16.557	1			Brünner Teil	Brünner Teil
425	Söding	2	0	0	2	47.000	15.291	1			Mittelsteiermark	Mittelsteiermark
426	Sonnegg	2	0	0	2	46.559	14.641	3			Ostkärnten	Ostkärnten
427	Sopron	4	2	2	0	47.685	16.590	1			Westungarn	Westungarn
428	Spital am Pyhrn	4	0	4	0	47.665	14.340	1			Oberösterreich	Oberösterreich
429	Spital am Semmering	5	0	5	0	47.615	15.752	1			Nordsteiermark	Nordsteiermark
430	St. Florian	4	1	3	0	48.206	14.379	1			Oberösterreich	Oberösterreich
431	St. Lambrecht	8	0	8	0	47.072	14.300	1			Nordsteiermark	Nordsteiermark
432	St. Martin	1	0	0	1	47.100	13.654	1			Salzburg	Salzburg
433	St. Pölten	7	0	7	0	48.200	15.633	1			Südwestniederösterreich	Südwestniederösterreich
434	Staatz	0	0	0	0	48.693	16.487	1			Nordostniederösterreich	Nordostniederösterreich
435	Stadlau	1	0	1	0	48.221	16.449	3			Wien	Wien
436	Stainz	1	0	1	0	46.894	15.264	1			Mittelsteiermark	Mittelsteiermark
437	Stammersdorf	2	0	0	2	48.301	16.422	1			Nordostniederösterreich	Nordostniederösterreich
438	Staňkov	1	0	0	1	49.554	13.072	1			Südwestböhmen	Südwestböhmen
439	Stará Říše	2	0	2	0	49.180	15.595	1			Böhmischmährische Höhe	Böhmischmährische Höhe
440	Steiermark	5	0	5	0			2			Steiermark	Steiermark
441	Stein an der Donau	6	0	2	4	48.402	15.582	1			Nordwestniederösterreich	Nordwestniederösterreich
442	Šternberk	0	0	0	0	49.730	17.298	1			Olmützer Teil	Olmützer Teil
443	Steyeregg	1	0	1	0	48.283	14.369	1			Oberösterreich	Oberösterreich
444	Steyr	5	2	1	2	48.039	14.419	1			Oberösterreich	Oberösterreich
445	Stičná	1	1	0	0	45.957	14.806	1			Krain	Krain
446	Strahov	4	0	4	0	50.083	14.386	1			Prag	Prag
447	Strakonice	3	0	3	0	49.261	13.902	1			Südböhmen	Südböhmen
448	Straning-Grafenberg	3	0	0	3	48.611	15.864	1			Nordostniederösterreich	Nordostniederösterreich
449	Stranzendorf	1	0	0	1	48.452	16.082	1			Nordostniederösterreich	Nordostniederösterreich
450	Straßberg	2	0	0	2	45.993	15.158	1	hrad		Krain	Krain
451	Stratzing	0	0	0	0	48.450	15.607	1			Nordwestniederösterreich	Nordwestniederösterreich
452	Strettweg	5	0	3	2	47.176	14.656	1			Nordsteiermark	Nordsteiermark
453	Stříbro	3	1	1	1	49.752	13.003	1			Südwestböhmen	Südwestböhmen
454	Střílky	1	0	1	0	49.140	17.215	1			Brünner Teil	Brünner Teil
455	Stubenberg	2	0	2	0	47.251	15.807	1			Südsteiermark	Südsteiermark
456	Studenice	2	0	2	0	46.302	15.613	1			Südsteiermark	Südsteiermark
457	Südböhmen	1	0	0	1			2			Südböhmen	Südböhmen
458	Sudice	1	0	0	1	49.530	16.669	1			Brünner Teil	Brünner Teil
459	Südostmähren	0	0	0	0			2			Südostmähren	Südostmähren
460	Südostniederösterreich	0	0	0	0			2			Südostniederösterreich	Südostniederösterreich
461	Südsteiermark	0	0	0	0			2			Südsteiermark	Südsteiermark
462	Südwestböhmen	0	0	0	0			2			Südwestböhmen	Südwestböhmen
463	Sudwestniederösterreich	0	0	0	0			2			Sudwestniederösterreich	Sudwestniederösterreich
464	Südwestniederösterreich	0	0	0	0			2			Südwestniederösterreich	Südwestniederösterreich
465	Sušice	1	0	1	0	49.231	13.520	1			Südböhmen	Südböhmen
466	Svařenice	1	0	0	1	50.500	14.300	1			Nordböhmen	Nordböhmen
467	Svatobor	1	0	0	1	50.244	13.021	1			Nordwestböhmen	Nordwestböhmen
468	Svätý Júr	2	1	1	0	48.254	17.213	1			Westungarn	Westungarn
469	Svečina	1	1	0	0	46.666	15.588	1			Südsteiermark	Südsteiermark
470	Svibno	1	0	1	0	46.064	15.098	1			Krain	Krain
471	Tachov	2	0	1	1	49.795	12.634	1			Südwestböhmen	Südwestböhmen
472	Tannberg	1	0	1	0	48.502	13.939	1			Bayern	Bayern
473	Tegernsee	3	0	3	0	47.710	11.756	1			Bayern	Bayern
474	Teplá	3	0	3	0	49.980	12.862	1			Südwestböhmen	Südwestböhmen
475	Ternberg	2	0	1	1	47.946	14.357	1			Oberösterreich	Oberösterreich
476	Těšetice	1	0	0	1	49.593	17.129	1			Olmützer Teil	Olmützer Teil
477	Thallern	2	0	0	2	48.050	16.290	3			Südostniederösterreich	Südostniederösterreich
478	Theiß	1	0	0	1	48.399	15.692	1			Nordwestniederösterreich	Nordwestniederösterreich
479	Tišnov	4	0	4	0	49.349	16.424	1			Brünner Teil	Brünner Teil
480	Tittmoning	1	1	0	0	48.063	12.768	1			Salzburg	Salzburg
481	Tobra	1	0	0	1	48.231	14.686	1			Nordwestniederösterreich	Nordwestniederösterreich
482	Toruń	1	1	0	0	53.010	18.605	1			Pommern	Pommern
483	Traboch	1	0	0	1	47.377	14.990	1			Nordsteiermark	Nordsteiermark
484	Traiskirchen	1	1	0	0	48.014	16.295	1			Südostniederösterreich	Südostniederösterreich
485	Traubenberg	1	0	0	1	46.950	15.617	1	kopec		Mittelsteiermark	Mittelsteiermark
486	Třebelovice	1	0	1	0	49.021	15.667	1			Znaimer Teil	Znaimer Teil
487	Trhové Sviny	2	0	2	0	48.842	14.639	1			Südböhmen	Südböhmen
488	Trnava	2	1	1	0	48.377	17.586	1			Westungarn	Westungarn
489	Trnovany	1	0	1	0	50.316	13.601	1			Nordwestböhmen	Nordwestböhmen
490	Troppauer Teil	0	0	0	0			2			Troppauer Teil	Troppauer Teil
491	Troppauer Teil Olmützer Teil	0	0	0	0			2			Troppauer Teil Olmützer Teil	Troppauer Teil Olmützer Teil
492	Trübensee	2	0	1	1	48.362	16.038	1			Nordostniederösterreich	Nordostniederösterreich
493	Trzebnica	1	1	0	0	51.310	17.063	1			Schlesien	Schlesien
494	Tulln	9	0	7	2	48.331	16.059	1			Südostniederösterreich	Südostniederösterreich
495	Türnitz	1	0	0	1	47.929	15.485	1			Südwestniederösterreich	Südwestniederösterreich
496	Tursko	1	0	0	1	50.191	14.322	1			Mittelböhmen	Mittelböhmen
497	Úherce	1	0	0	1	50.369	14.990	3			Nordböhmen	Nordböhmen
498	Uherské Hradiště	6	2	3	1	49.070	17.460	1			Südostmähren	Südostmähren
499	Uherský Brod	3	0	3	0	49.025	17.647	1			Südostmähren	Südostmähren
500	Uherský Ostroh	1	1	0	0	48.986	17.390	1			Südostmähren	Südostmähren
501	Ujazd	1	1	0	0	50.389	18.350	1			Troppauer Teil	Troppauer Teil
502	Ulmerfeld	1	0	0	1	48.076	14.822	1			Südwestniederösterreich	Südwestniederösterreich
503	Uničov	1	1	0	0	49.771	17.121	1			Olmützer Teil	Olmützer Teil
504	Unterlaa	1	0	0	1	48.128	16.419	1			Südostniederösterreich	Südostniederösterreich
505	Ústí nad Labem	2	0	2	0	50.660	14.041	1			Nordböhmen	Nordböhmen
506	Valtice	1	0	0	1	48.741	16.755	1			Nordostniederösterreich	Nordostniederösterreich
507	Velehrad	11	2	9	0	49.105	17.395	1		Mähren	Südostmähren	Südostmähren
508	Velké Hoštice	1	0	0	1	49.936	17.974	1			Troppauer Teil	Troppauer Teil
509	Velký Týnec	1	0	0	1	49.552	17.340	1			Olmützer Teil	Olmützer Teil
510	Vernéřov	1	0	0	1	50.402	13.223	1			Nordwestböhmen	Nordwestböhmen
511	Veveří	1	1	0	0	49.257	16.462	1			Brünner Teil	Brünner Teil
512	Viechtwang	1	0	0	1	47.915	13.963	1			Oberösterreich	Oberösterreich
513	Viehofen	2	0	2	0	48.193	15.620	1			Südwestniederösterreich	Südwestniederösterreich
514	Viktring	4	0	4	0	46.589	14.270	1			Ostkärnten	Ostkärnten
515	Vilémov	2	0	2	0	49.814	15.535	1			Böhmischmährische Höhe	Böhmischmährische Höhe
516	Villach	1	1	0	0	46.610	13.856	1			Westkärnten	Westkärnten
517	Vöcklabruck	1	1	0	0	48.009	13.653	1			Oberösterreich	Oberösterreich
518	Vogtland	0	0	0	0			2			Bayern	Bayern
519	Voitsberg	2	2	0	0	47.050	15.147	1			Mittelsteiermark	Mittelsteiermark
520	Völkermarkt	1	1	0	0	46.662	14.633	1			Ostkärnten	Ostkärnten
521	Volkersdorf	1	0	1	0	48.195	14.430	1			Oberösterreich	Oberösterreich
522	Vornbach	1	0	1	0	48.486	13.442	1			Bayern	Bayern
523	Vracov	1	1	0	0	48.977	17.209	1			Südostmähren	Südostmähren
524	Vratěnín	1	0	0	1	48.904	15.595	1			Znaimer Teil	Znaimer Teil
525	Vsisko	1	0	0	1	49.552	17.314	1			Olmützer Teil	Olmützer Teil
526	Vyšehrad	13	0	13	0	50.065	14.418	1			Prag	Prag
527	Vyškov	2	2	0	0	49.280	17.000	1			Olmützer Teil	Olmützer Teil
528	Vysoké Mýto	1	0	1	0	49.953	16.162	1			Ostböhmen	Ostböhmen
529	Vyšší Brod	3	1	2	0	48.618	14.312	1			Südböhmen	Südböhmen
530	Waidhofen	1	0	1	0	47.961	14.774	1			Südwestniederösterreich	Südwestniederösterreich
531	Waidhofen an der Ybbs	1	0	0	1	47.961	14.774	1			Südwestniederösterreich	Südwestniederösterreich
532	Waldhausen	0	0	0	0	48.522	15.261	1			Nordwestniederösterreich	Nordwestniederösterreich
533	Waldhausen im Strudengau	4	0	4	0	48.273	14.948	1			Nordwestniederösterreich	Nordwestniederösterreich
534	Waldsassen	4	0	4	0	50.004	12.306	1			Egerland	Egerland
535	Waxenegg	1	0	0	1	47.271	15.680	1	ruiny hradu		Mittelsteiermark	Mittelsteiermark
536	Weikertschlag	1	0	0	1	48.615	14.856	1			Nordwestniederösterreich	Nordwestniederösterreich
537	Weiselburg	1	0	0	1	48.130	15.138	1			Südwestniederösterreich	Südwestniederösterreich
538	Weißenstein	2	0	1	1	46.674	13.744	1			Westkärnten	Westkärnten
539	Weißkirchen in Steiermark	1	0	0	1	47.158	14.738	1			Nordsteiermark	Nordsteiermark
540	Weitra	3	0	3	0	48.688	14.932	1			Nordwestniederösterreich	Nordwestniederösterreich
541	Wels	7	6	0	1	48.158	14.027	1			Oberösterreich	Oberösterreich
542	Westkärnten	0	0	0	0			2			Westkärnten	Westkärnten
543	Westungarn	0	0	0	0			2			Westungarn	Westungarn
544	Wetzleinsdorf	1	0	0	1	48.477	16.385	1			Nordostniederösterreich	Nordostniederösterreich
545	Wien	147	119	18	10	48.221	16.388	1			Wien	Wien
546	Wiener Neustadt	23	8	10	5	47.810	16.240	1			Südostniederösterreich	Südostniederösterreich
547	Wienflusse	1	0	1	0	48.208	16.373	2			Wien	Wien
548	Wiesenfeld	2	0	1	1	48.050	15.643	3			Südwestniederösterreich	Südwestniederösterreich
549	Wildon	3	0	3	0	46.888	15.503	1			Mittelsteiermark	Mittelsteiermark
550	Wilfleinsdorf	1	0	0	1	48.011	16.723	1			Südostniederösterreich	Südostniederösterreich
551	Wilhemsburg	1	1	0	0	48.105	15.606	1			Südwestniederösterreich	Südwestniederösterreich
552	Wilhering	9	0	9	0	48.324	14.190	1			Oberösterreich	Oberösterreich
553	Wimpassing im Schwarzatale	1	0	0	1	47.700	16.032	1			Südostniederösterreich	Südostniederösterreich
554	Winden am See	2	0	1	1	47.953	16.753	1			Westungarn	Westungarn
555	Windischgarsten	3	0	0	3	47.722	14.328	1			Oberösterreich	Oberösterreich
556	Winzendorf-Muthmannsdorf	1	0	0	1	47.810	16.116	1			Südostniederösterreich	Südostniederösterreich
557	Wolkersdorf	1	0	1	0	48.383	16.518	1			Nordostniederösterreich	Nordostniederösterreich
558	Wrocław	7	6	1	0	51.109	17.034	1			Schlesien	Schlesien
559	Ybbs an der Donau	5	0	2	3	48.175	15.064	1			Südwestniederösterreich	Südwestniederösterreich
560	Ysperklamm	1	0	0	1	48.339	15.061	1			Nordwestniederösterreich	Nordwestniederösterreich
561	Zábrdovice	1	0	1	0	49.200	16.615	1			Brünner Teil	Brünner Teil
562	Zahořany	1	0	0	1	49.434	13.002	1			Südwestböhmen	Südwestböhmen
563	Žalkovice	1	0	0	1	49.372	17.436	1			Nordostmähren	Nordostmähren
