,id,name,no_alle,no_activity,no_reise,no_bi,no_gg,x,y,prazision,typ,noten,region0,region1,region2,Region2shortcut,region3,geometry
500,503.0,Šlapanice,2.0,1.0,1.0,0.0,0.0,49.169,16.727,1.0,gemeinde,,Mähren,Mähren,Brünner Teil,BT,Brünner Teil,POINT (16.727 49.169)
501,504.0,Slovenj Gradec,4.0,2.0,2.0,0.0,0.0,46.516,15.079,1.0,gemeinde,,Kärnten,Kärnten,Ostkärnten,OK,Ostkärnten,POINT (15.079 46.516)
502,505.0,Sobotovice,1.0,0.0,0.0,0.0,1.0,49.06,16.557,1.0,gemeinde,,Mähren,Mähren,Brünner Teil,BT,Brünner Teil,POINT (16.557 49.06)
503,506.0,Söding,2.0,0.0,0.0,0.0,2.0,47.0,15.291,1.0,gemeinde,,Steiermark,Steiermark,Mittelsteiermark,MS,Mittelsteiermark,POINT (15.291 47)
504,507.0,Sonnegg,2.0,0.0,0.0,0.0,2.0,46.559,14.641,3.0,gemeinde,,Kärnten,Kärnten,Ostkärnten,OK,Ostkärnten,POINT (14.641 46.559)
505,508.0,Sopron,6.0,2.0,2.0,2.0,0.0,47.685,16.59,1.0,gemeinde,,Ungarn,Ungarn,Westungarn,WU,Westungarn,POINT (16.59 47.685)
506,509.0,Spital am Pyhrn,4.0,0.0,0.0,4.0,0.0,47.665,14.34,1.0,gemeinde,,Oberösterreich,Oberösterreich,Oberösterreich,OÖ,Oberösterreich,POINT (14.34 47.665)
507,510.0,Spital am Semmering,5.0,0.0,0.0,5.0,0.0,47.615,15.752,1.0,gemeinde,,Steiermark,Steiermark,Nordsteiermark,NS,Nordsteiermark,POINT (15.752 47.615)
508,511.0,St. Florian,3.0,0.0,0.0,3.0,0.0,48.206,14.379,1.0,gemeinde,,Oberösterreich,Oberösterreich,Oberösterreich,OÖ,Oberösterreich,POINT (14.379 48.206)
509,512.0,St. Lambrecht,10.0,0.0,0.0,8.0,2.0,47.072,14.3,1.0,gemeinde,,Steiermark,Steiermark,Nordsteiermark,NS,Nordsteiermark,POINT (14.3 47.072)
510,513.0,St. Martin,1.0,0.0,0.0,0.0,1.0,47.1,13.654,1.0,gemeinde,,Ausland,Salzburg,Salzburg,Sa,Salzburg,POINT (13.654 47.1)
511,514.0,St. Pölten,9.0,0.0,0.0,9.0,0.0,48.2,15.633,1.0,gemeinde,,Niederösterreich,Niederösterreich,Südwestniederösterreich,SWNÖ,Südwestniederösterreich,POINT (15.633 48.2)
512,515.0,Staatz,2.0,1.0,1.0,0.0,0.0,48.693,16.487,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (16.487 48.693)
513,516.0,Stadlau,1.0,0.0,0.0,1.0,0.0,48.221,16.449,3.0,gemeinde,,Niederösterreich,Wien,Wien,Wi,Wien,POINT (16.449 48.221)
514,517.0,Stainz,1.0,0.0,0.0,1.0,0.0,46.894,15.264,1.0,gemeinde,,Steiermark,Steiermark,Mittelsteiermark,MS,Mittelsteiermark,POINT (15.264 46.894)
515,518.0,Stammersdorf,2.0,0.0,0.0,0.0,2.0,48.301,16.422,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (16.422 48.301)
516,519.0,Staňkov,1.0,0.0,0.0,0.0,1.0,49.554,13.072,1.0,gemeinde,,Böhmen,Böhmen,Südwestböhmen,SWB,Südwestböhmen,POINT (13.072 49.554)
517,520.0,Stará Říše,2.0,0.0,0.0,2.0,0.0,49.18,15.595,1.0,gemeinde,,Böhmen,Böhmen,Böhmischmährische Höhe,BMH,Böhmischmährische Höhe,POINT (15.595 49.18)
518,,Starý Plzenec,,,,,,,,,gemeinde,,Böhmen,Böhmen,Südwestböhmen,SWB,Südwestböhmen,POINT (nan nan)
519,521.0,Steiermark,5.0,0.0,0.0,5.0,0.0,,,2.0,region,,Steiermark,Steiermark,Steiermark,St,Steiermark,POINT (nan nan)
520,522.0,Stein an der Donau,8.0,0.0,0.0,3.0,5.0,48.402,15.582,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordwestniederösterreich,NWNÖ,Nordwestniederösterreich,POINT (15.582 48.402)
521,523.0,Šternberk,0.0,0.0,0.0,0.0,0.0,49.73,17.298,1.0,gemeinde,,Mähren,Mähren,Olmützer Teil,OT,Olmützer Teil,POINT (17.298 49.73)
522,524.0,Steyeregg,1.0,0.0,0.0,1.0,0.0,48.283,14.369,1.0,gemeinde,,Oberösterreich,Oberösterreich,Oberösterreich,OÖ,Oberösterreich,POINT (14.369 48.283)
523,525.0,Steyr,7.0,2.0,2.0,1.0,2.0,48.039,14.419,1.0,gemeinde,,Oberösterreich,Oberösterreich,Oberösterreich,OÖ,Oberösterreich,POINT (14.419 48.039)
524,526.0,Stickelberg,1.0,0.0,0.0,0.0,1.0,47.614,16.239,1.0,gemeinde,,Niederösterreich,Niederösterreich,Südostniederösterreich,SONÖ,Südostniederösterreich,POINT (16.239 47.614)
525,527.0,Stična,2.0,1.0,1.0,0.0,0.0,45.957,14.806,1.0,gemeinde,,Krain + Aquileia,Krain,Krain,Kr,Krain,POINT (14.806 45.957)
526,528.0,Strahov,4.0,0.0,0.0,4.0,0.0,50.083,14.386,1.0,gemeinde,,Böhmen,Prag,Prag,Pr,Prag,POINT (14.386 50.083)
527,529.0,Strakonice,3.0,0.0,0.0,3.0,0.0,49.261,13.902,1.0,gemeinde,,Böhmen,Böhmen,Südböhmen,SB,Südböhmen,POINT (13.902 49.261)
528,530.0,Straning-Grafenberg,3.0,0.0,0.0,0.0,3.0,48.611,15.864,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (15.864 48.611)
529,531.0,Stranzendorf,2.0,0.0,0.0,0.0,2.0,48.452,16.082,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (16.082 48.452)
530,532.0,Straßberg,2.0,0.0,0.0,0.0,2.0,45.993,15.158,1.0,gemeinde,hrad,Krain + Aquileia,Krain,Krain,Kr,Krain,POINT (15.158 45.993)
531,533.0,Stratzing,1.0,0.0,0.0,0.0,1.0,48.45,15.607,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordwestniederösterreich,NWNÖ,Nordwestniederösterreich,POINT (15.607 48.45)
532,534.0,Strettweg,5.0,0.0,0.0,3.0,2.0,47.176,14.656,1.0,gemeinde,,Steiermark,Steiermark,Nordsteiermark,NS,Nordsteiermark,POINT (14.656 47.176)
533,535.0,Stříbro,6.0,1.0,1.0,1.0,3.0,49.752,13.003,1.0,gemeinde,,Böhmen,Böhmen,Südwestböhmen,SWB,Südwestböhmen,POINT (13.003 49.752)
534,536.0,Střílky,3.0,0.0,0.0,3.0,0.0,49.14,17.215,1.0,gemeinde,,Mähren,Mähren,Brünner Teil,BT,Brünner Teil,POINT (17.215 49.14)
