id,geometry,travel,stay,diff,centroid
84525dbffffffff,"POLYGON ((16.31663316373241 51.53964236332865, 16.12486275615961 51.41537858237201, 15.93695583510451 51.50353850618703, 15.94070405845471 51.71503543757508, 16.13168675958799 51.83903531839029, 16.31970689329685 51.7518037095213, 16.31663316373241 51.53964236332865))",0,0,0,POINT (16.12838504207264 51.62756275318774)
8463b65ffffffff,"POLYGON ((12.65058352044299 49.00378584811177, 12.45763084590556 48.88379911472869, 12.27677024680793 48.9768266466744, 12.28863085127809 49.18898061929142, 12.48078170829554 49.30878621817353, 12.66187175891855 49.21662079479027, 12.65058352044299 49.00378584811177))",0,0,0,POINT (12.46930712634785 49.09660951010546)
8452c41ffffffff,"POLYGON ((13.39720989074883 45.44099277969917, 13.19680831205085 45.32091883678476, 13.0107589186732 45.42569374022406, 13.02481400431288 45.6496943447676, 13.22440996847899 45.7696891623219, 13.41075464510269 45.6657649706687, 13.39720989074883 45.44099277969917))",0,0,0,POINT (13.21072560314907 45.54559549365391)
84520a9ffffffff,"POLYGON ((17.52726521873202 45.25742827592489, 17.32197128892024 45.13269071189659, 17.12575653259226 45.24218270199109, 17.13459523496672 45.47549798329766, 17.33908904195511 45.60015613119585, 17.53554251014271 45.49158122144068, 17.52726521873202 45.25742827592489))",0,0,0,POINT (17.33067759342168 45.36673640716955)
8452e8dffffffff,"POLYGON ((14.10179581471288 47.80623464564674, 13.9047687296043 47.68471366970658, 13.71883062905058 47.7828242428378, 13.72968438854605 48.00157686241618, 13.92590552409977 48.12294564649498, 14.11207689010542 48.02571610869995, 14.10179581471288 47.80623464564674))",0,0,0,POINT (13.9154506934487 47.9041464647874)
845254dffffffff,"POLYGON ((17.7977490120218 47.69580875022921, 17.59692434208563 47.56995845893565, 17.40185123570782 47.67194219457298, 17.4074245811015 47.89883406091916, 17.6074511954479 48.02452443088407, 17.802700626907 47.92348521685862, 17.7977490120218 47.69580875022921))",0,0,0,POINT (17.60232571311768 47.79758039265688)
8452457ffffffff,"POLYGON ((18.42489582191372 51.41750319865142, 18.23140927257769 51.29063373819127, 18.03832669619797 51.38103963696003, 18.03865109203417 51.59734912478212, 18.23135888549557 51.72394680458218, 18.42451905415451 51.63450844094647, 18.42489582191372 51.41750319865142))",0,0,0,POINT (18.23150575767434 51.50766041205902)
84520a5ffffffff,"POLYGON ((16.91123458049649 44.88409609755002, 16.70580820994888 44.76023930673654, 16.51073816696835 44.87026974348699, 16.52083576157193 45.10325771772624, 16.72546046738685 45.22704861774815, 16.92078749835656 45.11792026198749, 16.91123458049649 44.88409609755002))",0,0,0,POINT (16.71577865665098 44.99394923155193)
8452427ffffffff,"POLYGON ((16.86543971073372 49.97268217254278, 16.66994762456098 49.84767761936669, 16.47907022159896 49.94141473440727, 16.48354392919576 50.15922062206823, 16.67824166393358 50.28400082168491, 16.86925804009593 50.19120135132904, 16.86543971073372 49.97268217254278))",7,0,-7,POINT (16.6742155570683 50.06618963500892)
8452e41ffffffff,"POLYGON ((16.14258843298545 45.55119451565556, 15.93913095802469 45.42794771361471, 15.74628536208595 45.53510995004991, 15.75664231391887 45.76462480222466, 15.9592952043985 45.88778459528722, 16.15239392344926 45.78151919278556, 16.14258843298545 45.55119451565556))",0,0,0,POINT (15.9493489796856 45.65817421564599)
84525d7ffffffff,"POLYGON ((15.74101513796873 51.1675089143634, 15.54895185803669 51.04390417859648, 15.36209331820455 51.13277189739039, 15.36716427373798 51.34432769017525, 15.55843592464176 51.46768103425197, 15.74542619211278 51.37973156123274, 15.74101513796873 51.1675089143634))",0,0,0,POINT (15.55380304133196 51.25614250084625)
8452eebffffffff,"POLYGON ((14.27837511631263 47.4870369494995, 14.08054162486198 47.36537266446189, 13.89385821376823 47.4646509699236, 13.9047687296043 47.68471366970658, 14.10179581471288 47.80623464564674, 14.28871684856632 47.70783840408867, 14.27837511631263 47.4870369494995))",0,0,0,POINT (14.09128454276692 47.58611890690366)
