,certainty,name,geometry,geometry_source,locality,date,period,domestic
0,1.0,Wiener Neustadt,POINT (16.24 47.81),POINT (16.388 48.221),Wien,1251-08-26,1,True
1,1.0,Wiener Neustadt,POINT (16.24 47.81),POINT (16.388 48.221),Wien,1251-08-26,1,True
2,1.0,Passau,POINT (13.469 48.575),POINT (16.388 48.221),Wien,1251-08-26,1,True
3,3.0,Freising,POINT (11.746 48.399),POINT (16.388 48.221),Wien,1251-08-26,1,True
4,1.0,Salzburg,POINT (13.048 47.797),POINT (16.388 48.221),Wien,1251-08-26,1,True
5,1.0,Wiener Neustadt,POINT (16.24 47.81),POINT (16.388 48.221),Wien,1251-08-26,1,True
6,1.0,Strakonice,POINT (13.902 49.261),POINT (14.197 49.05),Netolice,1251-11-08,1,False
7,1.0,Makarov,POINT (13.807 49.245),POINT (14.197 49.05),Netolice,1251-11-08,1,False
8,3.0,Neunkirchen,POINT (16.082 47.727),POINT (15.62 48.41),Krems an der Donau,1251-11-30,1,True
9,1.0,Niederaltaich,POINT (13.027 48.766),POINT (16.33 48.34),Korneuburg,1251-12-10,1,True
10,1.0,Absdorf,POINT (15.983 48.4),POINT (16.33 48.34),Korneuburg,1251-12-10,1,True
11,1.0,Kircheim unter Teck,POINT (9.449999999999999 48.647),POINT (16.33 48.34),Korneuburg,1251-12-10,1,True
12,1.0,Niederaltaich,POINT (13.027 48.766),POINT (16.33 48.34),Korneuburg,1251-12-10,1,True
13,1.0,Niederabsdorf,POINT (16.857 48.568),POINT (16.33 48.34),Korneuburg,1251-12-10,1,True
14,1.0,Niederaltaich,POINT (13.027 48.766),POINT (16.33 48.34),Korneuburg,1251-12-10,1,True
15,1.0,Niederaltaich,POINT (13.027 48.766),POINT (16.33 48.34),Korneuburg,1251-12-10,1,True
16,1.0,Stein an der Donau,POINT (15.582 48.402),POINT (16.33 48.34),Korneuburg,1251-12-10,1,True
17,1.0,Ybbs an der Donau,POINT (15.064 48.175),POINT (16.33 48.34),Korneuburg,1251-12-10,1,True
18,1.0,Mauthausen,POINT (14.516 48.241),POINT (16.33 48.34),Korneuburg,1251-12-10,1,True
19,1.0,Linz,POINT (14.286 48.306),POINT (16.33 48.34),Korneuburg,1251-12-10,1,True
20,1.0,Niederaltaich,POINT (13.027 48.766),POINT (16.33 48.34),Korneuburg,1251-12-10,1,True
21,1.0,Lambach,POINT (13.877 48.091),POINT (16.33 48.34),Korneuburg,1251-12-10,1,True
22,1.0,Příbor,POINT (18.145 49.641),POINT (16.388 48.221),Wien,1252-01-22,1,True
